feature,score
x_ori_1025,237
x_ori_339,200
x_ori_1007,198
x_ori_2,185
x_ori_1005,174
x_ori_1024,171
x_ori_506,166
x_ori_223,164
x_ori_602,153
x_ori_366,151
x_ori_222,148
x_ori_221,144
x_ori_862,135
x_ori_1022,127
x_ori_365,126
x_ori_247,122
x_ori_864,122
x_ori_867,120
x_ori_321,116
x_ori_264,114
x_ori_464,112
x_ori_371,109
x_ori_290,108
x_ori_858,104
x_ori_25,102
x_ori_600,101
x_ori_502,100
x_ori_500,96
x_ori_364,95
x_ori_590,89
x_ori_3,88
x_ori_792,88
x_ori_474,86
x_ori_1023,86
x_ori_263,84
x_ori_127,84
x_ori_601,83
x_ori_285,83
x_ori_281,83
x_ori_113,80
x_ori_261,80
x_ori_391,79
x_ori_554,79
x_ori_866,79
x_ori_309,77
x_ori_1042,76
x_ori_362,76
x_ori_394,76
x_ori_363,75
x_ori_396,75
x_ori_490,73
x_ori_1006,72
x_ori_1004,72
x_ori_794,72
x_ori_820,72
x_ori_144,72
x_ori_370,71
x_ori_603,71
x_ori_340,71
x_ori_288,70
x_ori_504,70
x_ori_673,70
x_ori_262,69
x_ori_508,69
x_ori_507,68
x_ori_260,67
x_ori_669,67
x_ori_338,66
x_ori_676,65
x_ori_677,65
x_ori_390,64
x_ori_473,64
x_ori_501,64
x_ori_475,64
x_ori_472,61
x_ori_860,61
x_ori_873,60
x_ori_29,60
x_ori_869,60
x_ori_512,60
x_ori_94,59
x_ori_665,58
x_ori_8,58
x_ori_784,58
x_ori_284,57
x_ori_461,56
x_ori_226,56
x_ori_614,55
x_ori_460,55
x_ori_248,55
x_ori_79,55
x_ori_870,55
x_ori_505,54
x_ori_1021,53
x_ori_868,53
x_ori_476,52
x_ori_510,52
x_ori_83,52
x_ori_43,52
x_ori_369,51
x_ori_143,51
x_ori_451,51
x_ori_367,50
x_ori_125,50
x_ori_240,50
x_ori_251,50
x_ori_231,50
x_ori_605,49
x_ori_28,49
x_ori_126,49
x_ori_287,49
x_ori_606,49
x_ori_425,48
x_ori_819,48
x_ori_611,48
x_ori_825,47
x_ori_93,47
x_ori_360,47
x_ori_610,47
x_ori_96,46
x_ori_314,46
x_ori_341,46
x_ori_283,46
x_ori_423,45
x_ori_552,45
x_ori_607,45
x_ori_509,45
x_ori_292,45
x_ori_937,44
x_ori_359,44
x_ori_553,44
x_ori_615,44
x_ori_754,43
x_ori_385,43
x_ori_344,43
x_ori_310,42
x_ori_361,42
x_ori_395,42
x_ori_92,42
x_ori_668,42
x_ori_149,42
x_ori_98,41
x_ori_752,41
x_ori_115,41
x_ori_621,41
x_ori_393,40
x_ori_748,40
x_ori_871,40
x_ori_343,40
x_ori_470,40
x_ori_931,40
x_ori_82,39
x_ori_342,39
x_ori_672,39
x_ori_217,38
x_ori_492,38
x_ori_468,38
x_ori_249,38
x_ori_151,37
x_ori_935,37
x_ori_608,37
x_ori_514,37
x_ori_463,37
x_ori_471,37
x_ori_286,36
x_ori_824,36
x_ori_368,36
