feature,score
x_ori_1007,456
x_ori_1025,366
x_ori_2,352
x_ori_223,315
x_ori_1005,298
x_ori_1024,297
x_ori_339,290
x_ori_864,286
x_ori_506,283
x_ori_366,272
x_ori_264,266
x_ori_222,257
x_ori_602,232
x_ori_1022,220
x_ori_371,214
x_ori_221,213
x_ori_365,213
x_ori_867,196
x_ori_862,193
x_ori_247,185
x_ori_502,185
x_ori_364,178
x_ori_321,177
x_ori_858,175
x_ori_3,172
x_ori_1006,171
x_ori_792,171
x_ori_500,162
x_ori_391,162
x_ori_590,161
x_ori_362,161
x_ori_363,159
x_ori_508,158
x_ori_113,157
x_ori_394,153
x_ori_600,153
x_ori_1004,151
x_ori_464,147
x_ori_25,145
x_ori_285,143
x_ori_288,142
x_ori_601,142
x_ori_263,141
x_ori_1042,135
x_ori_554,132
x_ori_866,130
x_ori_370,129
x_ori_390,125
x_ori_261,123
x_ori_262,122
x_ori_290,122
x_ori_673,117
x_ori_794,117
x_ori_127,117
x_ori_340,116
x_ori_474,116
x_ori_504,115
x_ori_396,115
x_ori_665,114
x_ori_240,114
x_ori_94,113
x_ori_473,112
x_ori_1023,112
x_ori_490,111
x_ori_309,110
x_ori_669,109
x_ori_505,107
x_ori_281,106
x_ori_603,106
x_ori_1021,106
x_ori_784,106
x_ori_451,106
x_ori_873,105
x_ori_868,104
x_ori_870,102
x_ori_475,98
x_ori_472,96
x_ori_8,95
x_ori_43,95
x_ori_461,94
x_ori_314,93
x_ori_226,93
x_ori_338,92
x_ori_605,92
x_ori_869,91
x_ori_292,90
x_ori_260,90
x_ori_284,89
x_ori_820,88
x_ori_507,87
x_ori_677,87
x_ori_460,86
x_ori_668,86
x_ori_29,86
x_ori_359,84
x_ori_369,84
x_ori_607,83
x_ori_287,82
x_ori_248,82
x_ori_476,81
x_ori_937,81
x_ori_217,81
x_ori_393,81
x_ori_144,80
x_ori_871,80
x_ori_553,79
x_ori_552,79
x_ori_311,79
x_ori_621,79
x_ori_143,79
x_ori_606,79
x_ori_96,78
x_ori_283,78
x_ori_360,77
x_ori_361,77
x_ori_28,76
x_ori_342,76
x_ori_931,75
x_ori_611,75
x_ori_501,75
x_ori_79,74
x_ori_509,74
x_ori_450,74
x_ori_463,73
x_ori_676,73
x_ori_83,73
x_ori_872,72
x_ori_860,72
x_ori_727,72
x_ori_512,71
x_ori_935,71
x_ori_148,71
x_ori_231,70
x_ori_940,69
x_ori_819,69
x_ori_343,69
x_ori_126,68
x_ori_615,68
x_ori_493,67
x_ori_251,67
x_ori_395,66
x_ori_367,66
x_ori_471,66
x_ori_75,66
x_ori_462,66
x_ori_125,65
x_ori_82,65
x_ori_608,64
x_ori_57,63
x_ori_228,63
x_ori_876,63
x_ori_59,62
x_ori_17,62
x_ori_609,62
x_ori_93,62
x_ori_92,62
x_ori_252,61
x_ori_470,61
x_ori_147,61
x_ori_616,61
x_ori_116,60
x_ori_492,60
x_ori_610,60
x_ori_42,60
x_ori_368,60
x_ori_754,60
x_ori_162,60
x_ori_224,60
x_ori_310,60
x_ori_278,60
x_ori_249,60
x_ori_389,60
x_ori_259,59
x_ori_235,59
x_ori_282,59
x_ori_154,59
x_ori_423,58
x_ori_511,58
x_ori_477,58
x_ori_494,58
x_ori_491,57
x_ori_392,57
x_ori_295,57
x_ori_341,57
x_ori_149,56
x_ori_466,56
x_ori_569,56
x_ori_510,56
x_ori_865,56
x_ori_589,55
x_ori_939,55
x_ori_614,55
x_ori_526,55
x_ori_98,55
x_ori_425,54
x_ori_373,53
x_ori_752,53
x_ori_31,53
x_ori_291,53
x_ori_594,52
x_ori_385,52
x_ori_294,52
x_ori_825,52
x_ori_137,51
x_ori_695,51
x_ori_556,51
x_ori_104,51
x_ori_18,51
x_ori_21,51
x_ori_301,50
x_ori_384,50
x_ori_11,50
x_ori_859,50
x_ori_748,50
x_ori_6,50
x_ori_241,49
x_ori_155,49
x_ori_318,49
x_ori_604,49
x_ori_320,49
x_ori_372,48
x_ori_115,48
x_ori_478,48
x_ori_514,48
x_ori_158,48
x_ori_157,48
x_ori_315,47
x_ori_435,47
x_ori_612,47
x_ori_351,47
x_ori_219,47
x_ori_350,47
x_ori_86,47
x_ori_753,46
x_ori_874,46
x_ori_344,46
x_ori_30,46
x_ori_468,46
x_ori_349,46
x_ori_555,46
x_ori_347,46
x_ori_488,46
x_ori_672,46
x_ori_293,46
x_ori_496,45
x_ori_613,45
x_ori_515,45
x_ori_313,45
x_ori_824,45
x_ori_151,45
x_ori_671,44
x_ori_91,44
x_ori_357,44
x_ori_588,44
x_ori_88,44
x_ori_348,44
x_ori_22,44
x_ori_402,44
x_ori_1052,43
x_ori_358,42
x_ori_80,42
x_ori_150,42
x_ori_725,42
x_ori_587,41
x_ori_1012,41
x_ori_513,41
x_ori_1011,41
x_ori_146,41
x_ori_138,41
x_ori_85,40
x_ori_316,40
x_ori_489,40
x_ori_27,40
x_ori_498,40
x_ori_20,40
x_ori_139,40
x_ori_620,39
x_ori_74,39
x_ori_58,39
x_ori_220,39
x_ori_558,39
x_ori_345,39
x_ori_152,39
x_ori_561,39
x_ori_87,39
x_ori_346,39
x_ori_626,38
x_ori_458,38
x_ori_9,38
x_ori_424,38
x_ori_560,38
x_ori_896,38
x_ori_733,38
x_ori_90,37
x_ori_499,37
x_ori_495,37
x_ori_456,37
x_ori_153,37
x_ori_286,37
x_ori_740,36
x_ori_1039,36
x_ori_562,36
x_ori_408,36
x_ori_667,36
x_ori_497,36
x_ori_19,36
x_ori_317,36
x_ori_469,36
x_ori_97,36
x_ori_52,35
x_ori_430,35
x_ori_156,35
x_ori_822,35
x_ori_47,35
x_ori_38,35
x_ori_319,35
x_ori_232,35
x_ori_383,35
x_ori_503,34
x_ori_77,34
x_ori_23,34
x_ori_129,34
x_ori_1013,34
x_ori_99,34
x_ori_102,34
x_ori_101,34
x_ori_649,33
x_ori_875,33
x_ori_26,33
x_ori_557,33
x_ori_382,33
x_ori_230,33
x_ori_678,32
x_ori_769,32
x_ori_119,32
x_ori_563,32
x_ori_438,32
x_ori_592,32
x_ori_568,32
x_ori_14,31
x_ori_49,31
x_ori_679,31
x_ori_933,31
x_ori_943,31
x_ori_776,31
x_ori_337,31
x_ori_680,31
x_ori_459,31
x_ori_565,31
x_ori_732,30
x_ori_694,30
x_ori_72,30
x_ori_56,30
x_ori_1061,30
x_ori_1009,30
x_ori_564,30
x_ori_941,30
x_ori_880,30
x_ori_551,29
x_ori_467,29
x_ori_946,29
x_ori_199,29
x_ori_1010,29
x_ori_527,29
x_ori_312,29
x_ori_457,29
x_ori_76,29
x_ori_487,28
x_ori_650,28
x_ori_225,28
x_ori_774,28
x_ori_617,28
x_ori_1015,28
x_ori_905,28
x_ori_120,27
x_ori_942,27
x_ori_944,27
x_ori_255,27
x_ori_945,27
x_ori_877,27
x_ori_797,27
x_ori_34,27
x_ori_454,27
x_ori_253,27
x_ori_907,27
x_ori_1058,26
x_ori_756,26
x_ori_7,26
x_ori_403,26
x_ori_559,26
x_ori_103,26
x_ori_578,26
x_ori_580,26
x_ori_530,26
x_ori_1040,26
x_ori_675,26
x_ori_1068,26
x_ori_796,25
x_ori_45,25
x_ori_280,25
x_ori_187,25
x_ori_532,25
x_ori_422,25
x_ori_12,25
x_ori_949,25
x_ori_684,25
x_ori_133,25
x_ori_432,25
x_ori_441,25
x_ori_289,24
x_ori_114,24
x_ori_533,24
x_ori_623,24
x_ori_577,24
x_ori_579,24
x_ori_712,24
x_ori_428,24
x_ori_537,24
x_ori_1014,24
x_ori_48,23
x_ori_791,23
x_ori_81,23
x_ori_775,23
x_ori_405,23
