feature,score
x_dis_769,344
x_dis_132,270
x_dis_755,262
x_dis_776,262
x_dis_341,251
x_dis_70,244
x_dis_346,238
x_dis_584,216
x_dis_338,210
x_dis_262,208
x_dis_759,200
x_dis_758,199
x_dis_345,197
x_dis_767,190
x_dis_742,178
x_dis_332,177
x_dis_775,173
x_dis_761,167
x_dis_28,165
x_dis_52,157
x_dis_754,157
x_dis_748,155
x_dis_65,154
x_dis_25,153
x_dis_79,150
x_dis_732,147
x_dis_13,146
x_dis_247,144
x_dis_42,142
x_dis_336,142
x_dis_51,141
x_dis_166,140
x_dis_329,140
x_dis_771,139
x_dis_790,138
x_dis_779,135
x_dis_39,135
x_dis_450,134
x_dis_48,134
x_dis_46,134
x_dis_422,132
x_dis_354,131
x_dis_793,130
x_dis_542,130
x_dis_236,129
x_dis_382,127
x_dis_309,127
x_dis_342,126
x_dis_471,126
x_dis_266,124
x_dis_319,123
x_dis_226,119
x_dis_522,117
x_dis_29,117
x_dis_764,113
x_dis_454,112
x_dis_47,111
x_dis_253,110
x_dis_369,110
x_dis_743,109
x_dis_30,109
x_dis_736,108
x_dis_7,108
x_dis_284,107
x_dis_62,107
x_dis_196,106
x_dis_60,106
x_dis_170,106
x_dis_53,105
x_dis_464,103
x_dis_207,102
x_dis_734,101
x_dis_22,101
x_dis_63,101
x_dis_71,101
x_dis_178,101
x_dis_437,100
x_dis_34,100
x_dis_366,100
x_dis_655,100
x_dis_138,99
x_dis_472,97
x_dis_26,97
x_dis_479,96
x_dis_141,96
x_dis_76,95
x_dis_192,95
x_dis_69,95
x_dis_57,94
x_dis_10,94
x_dis_68,94
x_dis_58,94
x_dis_95,94
x_dis_457,92
x_dis_4,91
x_dis_190,91
x_dis_152,89
x_dis_301,88
x_dis_462,88
x_dis_144,87
x_dis_78,87
x_dis_201,87
x_dis_739,86
x_dis_31,86
x_dis_19,86
x_dis_221,85
x_dis_185,85
x_dis_733,83
x_dis_73,83
x_dis_194,82
x_dis_27,82
