feature,score
x_dis_769,215
x_dis_132,163
x_dis_755,158
x_dis_776,142
x_dis_346,142
x_dis_70,134
x_dis_345,131
x_dis_341,128
x_dis_758,113
x_dis_262,112
x_dis_742,111
x_dis_767,108
x_dis_761,107
x_dis_759,106
x_dis_338,105
x_dis_775,104
x_dis_584,100
x_dis_28,98
x_dis_65,95
x_dis_336,94
x_dis_332,92
x_dis_79,88
x_dis_342,87
x_dis_779,87
x_dis_754,87
x_dis_25,85
x_dis_542,83
x_dis_748,83
x_dis_166,82
x_dis_771,80
x_dis_793,79
x_dis_790,79
x_dis_46,78
x_dis_732,77
x_dis_13,77
x_dis_52,76
x_dis_319,76
x_dis_236,75
x_dis_48,74
x_dis_266,73
x_dis_29,73
x_dis_141,71
x_dis_1,70
x_dis_39,70
x_dis_138,69
x_dis_42,68
x_dis_422,68
x_dis_194,67
x_dis_471,67
x_dis_329,67
x_dis_98,67
x_dis_764,67
x_dis_226,67
x_dis_253,67
x_dis_522,66
x_dis_247,66
x_dis_31,66
x_dis_26,66
x_dis_309,66
x_dis_60,66
x_dis_47,65
x_dis_457,63
x_dis_62,63
x_dis_7,63
x_dis_333,63
x_dis_19,62
x_dis_454,61
x_dis_27,61
x_dis_354,60
x_dis_218,60
x_dis_382,60
x_dis_30,59
x_dis_9,59
x_dis_369,59
x_dis_450,59
x_dis_366,58
x_dis_51,57
x_dis_37,57
x_dis_207,56
x_dis_655,56
x_dis_4,56
x_dis_183,56
x_dis_95,55
x_dis_196,55
x_dis_464,55
x_dis_53,55
x_dis_479,54
x_dis_743,54
x_dis_57,53
x_dis_78,52
x_dis_789,52
x_dis_190,52
x_dis_472,52
x_dis_734,51
x_dis_170,51
x_dis_448,51
x_dis_129,50
x_dis_69,50
x_dis_71,50
x_dis_76,49
x_dis_786,49
x_dis_736,49
x_dis_34,48
x_dis_32,47
x_dis_521,47
x_dis_14,47
x_dis_301,47
x_dis_6,46
x_dis_10,46
x_dis_465,46
x_dis_192,46
x_dis_249,45
x_dis_251,45
x_dis_103,45
x_dis_239,45
x_dis_221,44
x_dis_284,44
x_dis_460,43
x_dis_201,43
x_dis_67,42
x_dis_63,42
x_dis_733,42
x_dis_739,42
x_dis_147,41
x_dis_73,41
x_dis_151,41
x_dis_268,41
x_dis_187,41
x_dis_167,41
x_dis_480,41
x_dis_316,40
x_dis_731,40
x_dis_292,40
x_dis_383,40
x_dis_237,40
x_dis_423,40
x_dis_638,40
x_dis_437,40
x_dis_8,40
x_dis_94,39
x_dis_343,39
x_dis_148,39
x_dis_146,39
x_dis_234,39
x_dis_476,39
x_dis_185,38
x_dis_155,38
x_dis_38,38
x_dis_133,38
x_dis_195,38
x_dis_90,38
x_dis_225,37
x_dis_178,37
x_dis_173,37
x_dis_213,37
x_dis_22,37
x_dis_58,37
x_dis_461,37
x_dis_152,37
x_dis_462,37
x_dis_180,37
x_dis_84,36
x_dis_144,36
x_dis_168,36
x_dis_493,36
x_dis_68,36
x_dis_45,35
x_dis_99,35
x_dis_5,35
x_dis_15,35
x_dis_303,35
x_dis_174,35
x_dis_136,34
x_dis_446,34
x_dis_116,34
x_dis_44,34
x_dis_75,34
x_dis_16,34
x_dis_557,34
x_dis_580,33
x_dis_97,33
x_dis_434,33
x_dis_500,33
x_dis_61,33
x_dis_543,33
x_dis_254,32
x_dis_294,32
x_dis_80,32
x_dis_391,32
x_dis_489,32
x_dis_172,32
x_dis_610,32
x_dis_216,31
x_dis_93,31
x_dis_339,31
x_dis_197,31
x_dis_277,31
x_dis_561,31
x_dis_682,31
x_dis_260,31
x_dis_49,31
x_dis_267,31
x_dis_533,30
x_dis_304,30
x_dis_273,30
x_dis_162,30
x_dis_315,30
x_dis_563,30
x_dis_517,30
x_dis_269,30
x_dis_628,30
x_dis_2,30
x_dis_256,30
x_dis_248,29
x_dis_587,29
x_dis_607,29
x_dis_66,29
x_dis_222,29
x_dis_126,29
x_dis_658,29
x_dis_562,29
x_dis_33,29
x_dis_265,29
x_dis_169,29
x_dis_520,29
x_dis_35,28
x_dis_458,28
x_dis_375,28
x_dis_724,28
x_dis_575,28
x_dis_488,28
x_dis_358,28
x_dis_165,28
x_dis_164,28
x_dis_50,28
x_dis_264,28
x_dis_223,28
x_dis_740,28
x_dis_420,28
x_dis_124,27
x_dis_278,27
x_dis_596,27
x_dis_113,27
x_dis_688,27
x_dis_119,27
x_dis_55,27
x_dis_586,27
x_dis_156,27
x_dis_246,27
x_dis_23,26
x_dis_295,26
x_dis_204,26
x_dis_624,26
x_dis_3,26
x_dis_115,26
x_dis_285,26
x_dis_74,26
x_dis_64,26
x_dis_112,26
x_dis_232,26
x_dis_184,26
x_dis_160,26
x_dis_595,26
x_dis_176,26
x_dis_159,25
x_dis_484,25
x_dis_296,25
x_dis_56,25
x_dis_548,25
x_dis_474,25
x_dis_279,25
x_dis_335,25
x_dis_525,25
x_dis_202,25
x_dis_784,24
x_dis_40,24
x_dis_571,24
x_dis_198,24
x_dis_475,24
x_dis_131,24
x_dis_568,24
x_dis_473,24
x_dis_592,24
x_dis_282,24
x_dis_552,24
x_dis_215,24
x_dis_350,24
x_dis_609,24
x_dis_738,24
x_dis_641,24
x_dis_616,23
x_dis_327,23
x_dis_307,23
x_dis_177,23
x_dis_86,23
x_dis_322,23
x_dis_41,23
x_dis_318,23
x_dis_118,23
x_dis_300,23
x_dis_453,23
x_dis_259,23
x_dis_618,23
x_dis_351,23
x_dis_18,22
x_dis_109,22
x_dis_117,22
x_dis_189,22
x_dis_662,22
x_dis_463,22
x_dis_545,22
x_dis_589,22
x_dis_272,22
x_dis_21,22
x_dis_508,22
x_dis_153,22
x_dis_298,22
x_dis_654,22
x_dis_608,22
x_dis_424,22
x_dis_122,21
x_dis_541,21
x_dis_87,21
x_dis_83,21
x_dis_602,21
x_dis_288,21
x_dis_82,21
x_dis_85,21
x_dis_630,21
x_dis_114,21
x_dis_551,21
x_dis_208,21
x_dis_305,21
x_dis_233,20
x_dis_676,20
x_dis_283,20
x_dis_20,20
x_dis_134,20
x_dis_643,20
x_dis_519,20
x_dis_36,20
x_dis_12,20
x_dis_657,20
x_dis_143,20
x_dis_627,20
x_dis_645,20
x_dis_535,20
x_dis_490,20
x_dis_534,20
x_dis_585,20
x_dis_106,19
x_dis_175,19
x_dis_17,19
x_dis_120,19
x_dis_478,19
x_dis_726,19
x_dis_11,19
x_dis_306,19
x_dis_179,19
x_dis_530,19
x_dis_581,19
x_dis_621,19
x_dis_235,19
x_dis_219,19
x_dis_154,19
x_dis_640,19
x_dis_297,18
x_dis_639,18
x_dis_549,18
x_dis_96,18
x_dis_509,18
x_dis_337,18
x_dis_599,18
x_dis_594,18
x_dis_310,18
x_dis_606,18
x_dis_483,18
x_dis_459,18
x_dis_231,18
x_dis_574,18
x_dis_550,18
x_dis_564,18
x_dis_311,18
x_dis_308,18
x_dis_72,18
x_dis_100,17
x_dis_291,17
x_dis_334,17
x_dis_326,17
x_dis_466,17
x_dis_123,17
x_dis_418,17
x_dis_572,17
x_dis_286,17
x_dis_92,17
x_dis_386,17
x_dis_619,17
x_dis_579,17
x_dis_24,17
x_dis_494,17
x_dis_701,17
x_dis_139,17
x_dis_150,16
x_dis_181,16
x_dis_211,16
x_dis_101,16
x_dis_546,16
x_dis_359,16
x_dis_612,16
x_dis_54,16
x_dis_652,16
x_dis_518,16
x_dis_506,16
x_dis_121,16
x_dis_182,16
x_dis_590,16
x_dis_620,16
x_dis_625,16
x_dis_203,16
x_dis_368,15
x_dis_576,15
x_dis_492,15
x_dis_289,15
x_dis_370,15
x_dis_344,15
x_dis_529,15
x_dis_646,15
x_dis_605,15
x_dis_687,15
x_dis_588,15
x_dis_157,15
x_dis_648,15
x_dis_261,15
x_dis_330,15
x_dis_555,15
x_dis_135,15
x_dis_502,15
x_dis_650,15
x_dis_349,15
x_dis_145,14
x_dis_111,14
x_dis_242,14
x_dis_781,14
x_dis_348,14
x_dis_547,14
x_dis_328,14
x_dis_365,14
x_dis_515,14
x_dis_395,14
x_dis_91,14
x_dis_614,14
x_dis_560,14
x_dis_470,14
x_dis_503,14
x_dis_140,14
x_dis_570,14
x_dis_191,14
x_dis_656,14
x_dis_672,13
x_dis_206,13
x_dis_583,13
x_dis_578,13
x_dis_491,13
x_dis_664,13
x_dis_205,13
x_dis_626,13
x_dis_355,13
x_dis_128,13
x_dis_683,13
x_dis_531,13
x_dis_469,13
x_dis_649,13
x_dis_532,13
x_dis_163,13
x_dis_604,13
x_dis_539,13
x_dis_270,13
x_dis_161,13
x_dis_600,12
x_dis_241,12
x_dis_566,12
x_dis_593,12
x_dis_794,12
x_dis_127,12
x_dis_317,12
x_dis_331,12
x_dis_482,12
x_dis_577,12
x_dis_142,12
x_dis_514,12
x_dis_276,12
x_dis_690,12
x_dis_230,11
x_dis_275,11
x_dis_110,11
x_dis_105,11
x_dis_603,11
x_dis_544,11
x_dis_485,11
x_dis_381,11
x_dis_357,11
x_dis_104,11
x_dis_362,11
x_dis_244,11
x_dis_130,11
x_dis_186,11
x_dis_635,11
x_dis_363,11
x_dis_367,11
x_dis_313,11
x_dis_634,11
x_dis_559,11
x_dis_364,11
x_dis_125,11
x_dis_615,11
x_dis_582,11
x_dis_258,11
x_dis_193,11
x_dis_377,10
x_dis_523,10
x_dis_693,10
x_dis_227,10
x_dis_536,10
x_dis_108,10
x_dis_501,10
x_dis_512,10
x_dis_569,10
x_dis_200,10
x_dis_228,10
x_dis_257,10
x_dis_212,10
x_dis_636,10
x_dis_441,10
x_dis_487,10
x_dis_511,10
x_dis_347,10
x_dis_659,10
x_dis_495,10
x_dis_149,9
x_dis_665,9
x_dis_637,9
x_dis_642,9
x_dis_356,9
x_dis_597,9
x_dis_675,9
x_dis_314,9
x_dis_89,9
x_dis_554,9
x_dis_668,9
x_dis_684,9
x_dis_647,9
x_dis_321,9
x_dis_496,8
x_dis_217,8
x_dis_399,8
x_dis_406,8
