feature,score
x_dis_769,236
x_dis_132,199
x_dis_346,137
x_dis_755,133
x_dis_776,129
x_dis_70,129
x_dis_761,129
x_dis_341,125
x_dis_345,125
x_dis_262,124
x_dis_338,121
x_dis_584,116
x_dis_759,112
x_dis_775,109
x_dis_742,108
x_dis_767,106
x_dis_758,104
x_dis_46,99
x_dis_754,97
x_dis_779,97
x_dis_319,95
x_dis_471,94
x_dis_332,93
x_dis_748,92
x_dis_25,91
x_dis_51,90
x_dis_65,88
x_dis_28,87
x_dis_39,86
x_dis_79,86
x_dis_329,85
x_dis_457,85
x_dis_336,85
x_dis_793,83
x_dis_542,83
x_dis_62,82
x_dis_247,82
x_dis_790,82
x_dis_138,81
x_dis_13,79
x_dis_53,79
x_dis_732,78
x_dis_522,77
x_dis_342,77
x_dis_48,77
x_dis_236,77
x_dis_450,76
x_dis_52,76
x_dis_29,75
x_dis_454,75
x_dis_464,74
x_dis_382,74
x_dis_207,73
x_dis_27,72
x_dis_354,71
x_dis_166,71
x_dis_309,71
x_dis_266,71
x_dis_253,71
x_dis_42,70
x_dis_4,70
x_dis_60,70
x_dis_30,67
x_dis_771,67
x_dis_19,66
x_dis_47,66
x_dis_301,66
x_dis_141,66
x_dis_196,66
x_dis_366,66
x_dis_226,64
x_dis_187,63
x_dis_218,62
x_dis_9,62
x_dis_78,62
x_dis_369,62
x_dis_736,61
x_dis_764,61
x_dis_743,60
x_dis_76,60
x_dis_786,60
x_dis_739,60
x_dis_71,59
x_dis_63,59
x_dis_95,59
x_dis_31,59
x_dis_655,59
x_dis_462,59
x_dis_479,59
x_dis_1,59
x_dis_194,58
x_dis_151,58
x_dis_94,57
x_dis_170,57
x_dis_26,57
x_dis_144,55
x_dis_69,55
x_dis_472,54
x_dis_34,54
x_dis_489,53
x_dis_103,53
x_dis_448,53
x_dis_422,53
x_dis_155,52
x_dis_7,52
x_dis_37,51
x_dis_192,51
x_dis_148,51
x_dis_93,51
x_dis_183,51
x_dis_152,50
x_dis_32,50
x_dis_14,50
x_dis_237,50
x_dis_10,50
x_dis_168,49
x_dis_251,49
x_dis_789,49
x_dis_284,49
x_dis_201,49
x_dis_658,49
x_dis_129,48
x_dis_67,48
x_dis_136,47
x_dis_16,47
x_dis_49,47
x_dis_5,47
x_dis_197,47
x_dis_73,47
x_dis_221,47
x_dis_249,46
x_dis_268,46
x_dis_22,46
x_dis_213,46
x_dis_480,46
x_dis_190,46
x_dis_733,46
x_dis_178,45
x_dis_15,45
x_dis_473,44
x_dis_173,43
x_dis_57,43
x_dis_8,43
x_dis_167,43
x_dis_35,42
x_dis_55,42
x_dis_596,42
x_dis_731,42
x_dis_476,42
x_dis_222,42
x_dis_562,41
x_dis_734,41
x_dis_458,41
x_dis_68,41
x_dis_98,41
x_dis_383,40
x_dis_84,40
x_dis_177,40
x_dis_461,40
x_dis_303,40
x_dis_36,40
x_dis_124,40
x_dis_475,40
x_dis_437,40
x_dis_460,40
x_dis_61,40
x_dis_638,40
x_dis_234,40
x_dis_58,39
x_dis_3,39
x_dis_488,39
x_dis_590,39
x_dis_333,39
x_dis_90,39
x_dis_375,39
x_dis_423,39
x_dis_254,38
x_dis_153,38
x_dis_82,38
x_dis_133,38
x_dis_176,38
x_dis_571,38
x_dis_246,38
x_dis_45,37
x_dis_277,37
x_dis_96,36
x_dis_180,36
x_dis_500,36
x_dis_38,36
x_dis_521,36
x_dis_50,36
x_dis_44,36
x_dis_99,36
x_dis_147,36
x_dis_6,36
x_dis_225,35
x_dis_434,35
x_dis_264,35
x_dis_682,35
x_dis_2,35
x_dis_118,35
x_dis_563,35
x_dis_391,35
x_dis_465,35
x_dis_285,34
x_dis_595,34
x_dis_86,34
x_dis_265,34
x_dis_122,33
x_dis_248,33
x_dis_618,33
x_dis_586,33
x_dis_80,33
x_dis_580,33
x_dis_343,33
x_dis_20,33
x_dis_453,33
x_dis_424,33
x_dis_724,32
x_dis_292,32
x_dis_307,32
x_dis_56,32
x_dis_688,32
x_dis_97,32
x_dis_339,32
x_dis_587,32
x_dis_610,32
x_dis_116,32
x_dis_185,32
x_dis_159,32
x_dis_239,31
x_dis_120,31
x_dis_126,31
x_dis_588,31
x_dis_160,31
x_dis_300,31
x_dis_533,31
x_dis_624,31
x_dis_17,31
x_dis_202,31
x_dis_544,30
x_dis_490,30
x_dis_630,30
x_dis_609,30
x_dis_278,30
x_dis_365,30
x_dis_74,30
x_dis_592,30
x_dis_33,30
x_dis_66,30
x_dis_520,30
x_dis_557,30
x_dis_272,30
x_dis_204,29
x_dis_115,29
x_dis_550,29
x_dis_131,29
x_dis_545,29
x_dis_216,29
x_dis_119,29
x_dis_269,29
x_dis_23,29
x_dis_578,29
x_dis_267,29
x_dis_40,29
x_dis_11,29
x_dis_282,29
x_dis_599,29
x_dis_474,28
x_dis_109,28
x_dis_548,28
x_dis_568,28
x_dis_198,28
x_dis_543,28
x_dis_509,28
x_dis_195,28
x_dis_215,28
x_dis_330,28
x_dis_146,28
x_dis_517,28
x_dis_260,27
x_dis_223,27
x_dis_295,27
x_dis_641,27
x_dis_256,27
x_dis_304,27
x_dis_564,27
x_dis_607,27
x_dis_337,27
x_dis_156,27
x_dis_91,27
x_dis_335,27
x_dis_75,27
x_dis_561,27
x_dis_174,27
x_dis_552,26
x_dis_288,26
x_dis_589,26
x_dis_305,26
x_dis_18,26
x_dis_259,26
x_dis_496,26
x_dis_294,26
x_dis_575,26
x_dis_114,26
x_dis_463,26
x_dis_12,26
x_dis_41,25
x_dis_359,25
x_dis_164,25
x_dis_145,25
x_dis_127,25
x_dis_643,25
x_dis_418,25
x_dis_87,25
x_dis_191,25
x_dis_315,25
x_dis_687,25
x_dis_726,25
x_dis_270,25
x_dis_101,25
x_dis_525,25
x_dis_547,25
x_dis_493,25
x_dis_627,25
x_dis_106,24
x_dis_466,24
x_dis_420,24
x_dis_279,24
x_dis_650,24
x_dis_551,24
x_dis_121,24
x_dis_508,24
x_dis_740,24
x_dis_316,24
x_dis_527,24
x_dis_140,23
x_dis_64,23
x_dis_322,23
x_dis_502,23
x_dis_296,23
x_dis_179,23
x_dis_628,23
x_dis_784,23
x_dis_546,23
x_dis_232,23
x_dis_649,23
x_dis_781,23
x_dis_640,23
x_dis_24,23
x_dis_327,23
x_dis_594,23
x_dis_83,23
x_dis_534,23
x_dis_112,23
x_dis_583,23
x_dis_358,22
x_dis_21,22
x_dis_123,22
x_dis_492,22
x_dis_233,22
x_dis_318,22
x_dis_317,22
x_dis_189,22
x_dis_162,22
x_dis_654,22
x_dis_518,22
x_dis_125,22
x_dis_350,22
x_dis_529,22
x_dis_286,22
x_dis_608,22
x_dis_676,22
x_dis_572,22
x_dis_283,21
x_dis_621,21
x_dis_656,21
x_dis_467,21
x_dis_117,21
x_dis_585,21
x_dis_484,21
x_dis_134,21
x_dis_503,21
x_dis_175,21
x_dis_108,21
x_dis_154,21
x_dis_257,21
x_dis_646,20
x_dis_273,20
x_dis_219,20
x_dis_351,20
x_dis_208,20
x_dis_446,20
x_dis_186,20
x_dis_313,20
x_dis_203,20
x_dis_104,20
x_dis_291,20
x_dis_612,20
x_dis_344,20
x_dis_549,20
x_dis_184,19
x_dis_639,19
x_dis_163,19
x_dis_576,19
x_dis_72,19
x_dis_143,19
x_dis_645,19
x_dis_470,19
x_dis_625,19
x_dis_684,19
x_dis_577,19
x_dis_553,19
x_dis_54,19
x_dis_664,18
x_dis_579,18
x_dis_111,18
x_dis_289,18
x_dis_606,18
x_dis_635,18
x_dis_519,18
x_dis_662,18
x_dis_211,18
x_dis_206,18
x_dis_130,18
x_dis_636,18
x_dis_85,18
x_dis_494,18
x_dis_92,18
x_dis_172,18
x_dis_483,18
x_dis_581,18
x_dis_169,18
x_dis_182,18
x_dis_298,18
x_dis_600,18
x_dis_497,18
x_dis_235,17
x_dis_651,17
x_dis_634,17
x_dis_523,17
x_dis_582,17
x_dis_738,17
x_dis_620,17
x_dis_482,17
x_dis_657,17
x_dis_602,17
x_dis_137,17
x_dis_683,17
x_dis_88,17
x_dis_128,17
x_dis_616,17
x_dis_622,17
x_dis_603,17
x_dis_491,17
x_dis_530,16
x_dis_311,16
x_dis_642,16
x_dis_200,16
x_dis_363,16
x_dis_505,16
x_dis_275,16
x_dis_165,16
x_dis_306,16
x_dis_331,16
x_dis_536,16
x_dis_276,16
x_dis_614,16
x_dis_349,16
x_dis_541,16
x_dis_231,16
x_dis_574,15
x_dis_242,15
x_dis_157,15
x_dis_102,15
x_dis_559,15
x_dis_297,15
x_dis_615,15
x_dis_290,15
x_dis_113,15
x_dis_510,15
x_dis_626,15
x_dis_531,15
x_dis_258,15
x_dis_605,15
x_dis_334,15
x_dis_512,15
x_dis_597,14
x_dis_555,14
x_dis_320,14
x_dis_506,14
x_dis_558,14
x_dis_701,14
x_dis_794,14
x_dis_611,14
x_dis_321,14
x_dis_441,14
x_dis_139,14
x_dis_100,14
x_dis_532,14
x_dis_459,14
x_dis_181,14
x_dis_442,14
x_dis_227,13
x_dis_672,13
x_dis_217,13
x_dis_665,13
x_dis_105,13
x_dis_110,13
x_dis_308,13
x_dis_368,13
x_dis_370,13
x_dis_539,13
x_dis_323,13
x_dis_188,12
x_dis_478,12
x_dis_348,12
x_dis_668,12
x_dis_381,12
x_dis_593,12
x_dis_648,12
x_dis_378,12
x_dis_515,12
x_dis_356,12
x_dis_89,12
x_dis_619,12
x_dis_604,12
x_dis_570,12
x_dis_569,12
x_dis_652,12
x_dis_516,12
x_dis_670,11
x_dis_212,11
x_dis_659,11
x_dis_135,11
x_dis_355,11
x_dis_617,11
x_dis_637,11
x_dis_402,11
x_dis_314,11
x_dis_501,11
x_dis_425,11
x_dis_666,11
x_dis_371,11
x_dis_193,11
x_dis_379,11
x_dis_241,11
x_dis_367,11
x_dis_362,11
x_dis_310,11
x_dis_524,11
x_dis_566,11
x_dis_230,10
x_dis_205,10
x_dis_261,10
x_dis_150,10
x_dis_376,10
x_dis_393,10
x_dis_703,10
x_dis_514,10
x_dis_535,10
x_dis_43,10
x_dis_485,10
x_dis_556,10
x_dis_271,9
x_dis_328,9
x_dis_623,9
x_dis_409,9
x_dis_408,9
x_dis_644,9
x_dis_469,9
x_dis_717,9
x_dis_675,9
x_dis_567,9
x_dis_495,9
x_dis_560,9
x_dis_161,9
x_dis_142,9
x_dis_312,8
x_dis_240,8
x_dis_507,8
x_dis_481,8
x_dis_405,8
x_dis_377,8
x_dis_360,8
x_dis_663,8
x_dis_199,8
x_dis_263,8
x_dis_244,8
x_dis_613,8
x_dis_357,8
x_dis_326,8
x_dis_107,8
x_dis_395,8
x_dis_487,8
x_dis_660,8
x_dis_255,7
x_dis_671,7
x_dis_526,7
x_dis_386,7
x_dis_250,7
x_dis_388,7
x_dis_685,7
x_dis_693,7
x_dis_633,7
x_dis_554,7
x_dis_511,7
x_dis_243,7
x_dis_245,7
x_dis_486,7
x_dis_149,7
x_dis_302,7
x_dis_727,7
x_dis_228,7
x_dis_702,7
x_dis_477,7
x_dis_210,6
x_dis_238,6
x_dis_394,6
x_dis_443,6
x_dis_690,6
x_dis_438,6
x_dis_704,6
x_dis_385,6
x_dis_711,6
x_dis_347,6
x_dis_280,6
x_dis_364,6
x_dis_537,6
x_dis_372,6
x_dis_352,6
x_dis_224,6
x_dis_389,6
x_dis_691,6
x_dis_427,6
x_dis_499,6
x_dis_540,6
x_dis_504,6
x_dis_647,6
x_dis_774,5
x_dis_708,5
x_dis_455,5
x_dis_565,5
x_dis_696,5
x_dis_412,5
x_dis_669,5
x_dis_451,5
x_dis_414,5
x_dis_629,5
x_dis_573,5
x_dis_447,4
x_dis_209,4
x_dis_411,4
x_dis_591,4
x_dis_735,4
x_dis_404,4
x_dis_686,4
x_dis_783,4
x_dis_631,4
x_dis_673,4
x_dis_705,4
x_dis_293,4
x_dis_661,4
x_dis_753,4
x_dis_801,4
x_dis_721,4
x_dis_538,4
x_dis_725,4
x_dis_699,4
x_dis_396,4
x_dis_59,4
x_dis_598,4
x_dis_428,4
x_dis_697,4
x_dis_737,4
x_dis_281,4
x_dis_680,3
x_dis_274,3
x_dis_229,3
x_dis_413,3
x_dis_777,3
x_dis_220,3
x_dis_747,3
x_dis_400,3
x_dis_719,3
x_dis_681,3
x_dis_401,3
x_dis_419,3
x_dis_406,3
x_dis_689,3
x_dis_632,3
x_dis_653,3
x_dis_513,3
x_dis_399,3
x_dis_718,3
x_dis_713,3
x_dis_706,3
x_dis_158,3
x_dis_752,3
x_dis_171,2
x_dis_361,2
x_dis_760,2
x_dis_799,2
x_dis_287,2
x_dis_435,2
x_dis_768,2
x_dis_340,2
x_dis_678,2
x_dis_741,2
x_dis_679,2
x_dis_765,2
x_dis_387,2
x_dis_374,2
x_dis_795,2
x_dis_723,2
x_dis_398,2
x_dis_707,2
x_dis_716,2
x_dis_695,2
x_dis_456,2
x_dis_667,2
x_dis_498,2
x_dis_392,2
x_dis_698,2
x_dis_770,2
x_dis_730,2
x_dis_720,2
x_dis_444,2
x_dis_746,1
x_dis_373,1
x_dis_214,1
x_dis_797,1
x_dis_410,1
x_dis_710,1
x_dis_429,1
x_dis_416,1
x_dis_433,1
x_dis_384,1
x_dis_77,1
x_dis_417,1
x_dis_692,1
x_dis_787,1
x_dis_380,1
x_dis_452,1
x_dis_778,1
x_dis_468,1
x_dis_709,1
x_dis_407,1
x_dis_773,1
x_dis_449,1
x_dis_674,1
x_dis_744,1
x_dis_722,1
x_dis_397,1
x_dis_757,1
x_dis_729,1
x_dis_677,1
x_dis_756,1
x_dis_750,1
x_dis_81,1
x_dis_772,1
