feature,score
x_dis_769,343
x_dis_132,260
x_dis_345,218
x_dis_70,216
x_dis_341,215
x_dis_346,213
x_dis_755,212
x_dis_776,210
x_dis_775,197
x_dis_584,185
x_dis_758,184
x_dis_262,184
x_dis_338,175
x_dis_332,175
x_dis_767,172
x_dis_742,168
x_dis_748,164
x_dis_28,162
x_dis_771,158
x_dis_761,156
x_dis_759,154
x_dis_732,145
x_dis_754,145
x_dis_25,144
x_dis_65,143
x_dis_779,142
x_dis_48,142
x_dis_79,141
x_dis_46,136
x_dis_793,136
x_dis_342,135
x_dis_790,135
x_dis_336,131
x_dis_471,130
x_dis_52,129
x_dis_319,128
x_dis_247,128
x_dis_166,127
x_dis_457,126
x_dis_382,125
x_dis_138,123
x_dis_39,120
x_dis_736,120
x_dis_422,118
x_dis_30,117
x_dis_78,116
x_dis_236,116
x_dis_329,116
x_dis_51,114
x_dis_542,114
x_dis_29,113
x_dis_764,111
x_dis_522,110
x_dis_366,110
x_dis_42,109
x_dis_226,107
x_dis_13,107
x_dis_354,106
x_dis_62,106
x_dis_266,106
x_dis_22,104
x_dis_454,104
x_dis_284,104
x_dis_60,101
x_dis_253,101
x_dis_743,100
x_dis_309,100
x_dis_71,100
x_dis_207,100
x_dis_76,99
x_dis_141,99
x_dis_196,97
x_dis_170,96
x_dis_95,95
x_dis_4,95
x_dis_98,95
x_dis_53,95
x_dis_479,95
x_dis_63,94
x_dis_464,94
x_dis_103,93
x_dis_383,93
x_dis_57,91
x_dis_194,91
x_dis_47,90
x_dis_7,90
x_dis_369,90
x_dis_448,89
x_dis_655,89
x_dis_44,89
x_dis_69,89
x_dis_1,88
x_dis_34,88
x_dis_31,87
x_dis_26,87
x_dis_423,87
x_dis_178,86
x_dis_462,86
x_dis_301,86
x_dis_450,86
x_dis_10,86
x_dis_249,86
x_dis_37,85
x_dis_187,84
x_dis_27,84
x_dis_489,84
x_dis_734,84
x_dis_152,83
x_dis_316,80
x_dis_185,80
x_dis_190,79
x_dis_465,78
x_dis_19,78
x_dis_2,78
x_dis_221,78
x_dis_183,77
x_dis_333,76
x_dis_9,76
x_dis_15,75
x_dis_251,75
x_dis_789,75
x_dis_192,75
x_dis_73,75
x_dis_733,74
x_dis_201,73
x_dis_151,73
x_dis_218,73
x_dis_391,73
x_dis_116,73
x_dis_168,72
x_dis_739,72
x_dis_521,72
x_dis_533,72
x_dis_144,72
x_dis_16,72
x_dis_461,71
x_dis_472,70
x_dis_14,69
x_dis_294,69
x_dis_90,68
x_dis_155,67
x_dis_343,67
x_dis_80,67
x_dis_94,66
x_dis_8,66
x_dis_268,66
x_dis_38,66
x_dis_58,66
x_dis_460,65
x_dis_303,65
x_dis_786,65
x_dis_50,64
x_dis_264,63
x_dis_133,63
x_dis_237,63
x_dis_239,63
x_dis_304,63
x_dis_129,63
x_dis_84,63
x_dis_638,63
x_dis_146,62
x_dis_475,62
x_dis_167,62
x_dis_586,62
x_dis_68,62
x_dis_473,62
x_dis_375,61
x_dis_279,61
x_dis_213,61
x_dis_222,60
x_dis_292,60
x_dis_580,60
x_dis_180,60
x_dis_740,60
x_dis_434,60
x_dis_608,60
x_dis_624,59
x_dis_618,59
x_dis_561,59
x_dis_731,59
x_dis_74,59
x_dis_55,58
x_dis_82,58
x_dis_173,57
x_dis_93,56
x_dis_61,56
x_dis_49,56
x_dis_197,56
x_dis_67,56
x_dis_148,56
x_dis_234,55
x_dis_177,55
x_dis_118,55
x_dis_476,55
x_dis_557,55
x_dis_147,54
x_dis_295,54
x_dis_126,54
x_dis_164,54
x_dis_160,54
x_dis_269,54
x_dis_278,54
x_dis_153,54
x_dis_563,54
x_dis_682,53
x_dis_35,53
