feature,score
x_rank_769,484
x_rank_584,475
x_rank_776,451
x_rank_132,435
x_rank_341,389
x_rank_262,385
x_rank_775,370
x_rank_779,356
x_rank_346,336
x_rank_70,331
x_rank_338,312
x_rank_345,309
x_rank_755,307
x_rank_771,294
x_rank_34,272
x_rank_28,263
x_rank_761,263
x_rank_48,261
x_rank_192,251
x_rank_236,245
x_rank_39,243
x_rank_790,240
x_rank_65,239
x_rank_758,238
x_rank_319,238
x_rank_52,234
x_rank_742,230
x_rank_25,229
x_rank_366,228
x_rank_266,226
x_rank_79,222
x_rank_336,222
x_rank_141,221
x_rank_354,221
x_rank_13,212
x_rank_542,210
x_rank_166,206
x_rank_329,206
x_rank_793,205
x_rank_754,203
x_rank_247,200
x_rank_759,200
x_rank_786,197
x_rank_51,197
x_rank_732,197
x_rank_767,192
x_rank_207,185
x_rank_301,185
x_rank_46,179
x_rank_764,179
x_rank_284,179
x_rank_226,178
x_rank_47,177
x_rank_342,173
x_rank_748,171
x_rank_138,170
x_rank_332,168
x_rank_62,166
x_rank_57,163
x_rank_369,162
x_rank_63,162
x_rank_58,162
x_rank_98,161
x_rank_60,160
x_rank_7,159
x_rank_333,157
x_rank_38,155
x_rank_4,151
x_rank_53,151
x_rank_309,151
x_rank_196,149
x_rank_268,148
x_rank_382,148
x_rank_76,147
x_rank_303,147
x_rank_187,147
x_rank_44,146
x_rank_739,145
x_rank_170,143
x_rank_35,142
x_rank_19,141
x_rank_29,141
x_rank_183,140
x_rank_789,137
x_rank_734,137
x_rank_69,136
x_rank_78,135
x_rank_37,134
x_rank_201,134
x_rank_1,133
x_rank_71,133
x_rank_73,131
x_rank_27,131
x_rank_194,131
x_rank_151,130
x_rank_736,129
x_rank_90,128
x_rank_152,128
x_rank_185,127
x_rank_26,127
x_rank_42,127
x_rank_249,126
x_rank_781,126
x_rank_422,126
x_rank_30,125
x_rank_31,125
x_rank_22,124
x_rank_264,124
x_rank_239,123
x_rank_178,123
x_rank_129,123
x_rank_190,122
x_rank_68,119
x_rank_168,117
x_rank_213,116
x_rank_218,115
x_rank_316,115
x_rank_743,115
x_rank_180,115
x_rank_237,114
x_rank_177,114
x_rank_655,112
x_rank_375,111
x_rank_221,111
x_rank_95,111
x_rank_75,110
x_rank_67,109
x_rank_304,108
x_rank_103,107
x_rank_49,107
x_rank_222,106
x_rank_16,104
x_rank_296,104
x_rank_155,103
x_rank_383,103
x_rank_146,103
x_rank_318,103
x_rank_133,102
x_rank_113,102
x_rank_256,101
x_rank_144,101
x_rank_80,101
x_rank_9,101
x_rank_522,100
x_rank_453,99
x_rank_99,99
x_rank_215,99
x_rank_420,98
x_rank_197,98
x_rank_97,97
x_rank_148,97
x_rank_391,96
x_rank_259,96
x_rank_294,95
